country,country_code,indicator_code,indicator_name,year,value
Spain,ESP,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2021,21.9955527824337
Spain,ESP,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2020,21.7334285182537
Spain,ESP,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2019,21.5557445209032
Spain,ESP,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2018,21.3858000003089
Spain,ESP,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2017,21.195109468712
Spain,ESP,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2016,20.9854356462586
Spain,ESP,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2015,20.7703871286507
Spain,ESP,SM.POP.NETM,Net migration,2023,119099.0
Spain,ESP,SM.POP.NETM,Net migration,2022,299779.0
Spain,ESP,SM.POP.NETM,Net migration,2021,144385.0
Spain,ESP,SM.POP.NETM,Net migration,2020,236854.0
Spain,ESP,SM.POP.NETM,Net migration,2019,464783.0
Spain,ESP,SM.POP.NETM,Net migration,2018,337467.0
Spain,ESP,SM.POP.NETM,Net migration,2017,201135.0
Spain,ESP,SM.POP.NETM,Net migration,2016,106474.0
Spain,ESP,SM.POP.NETM,Net migration,2015,-1979.0
Spain,ESP,SM.POP.TOTL.ZS,International migrant stock (% of population),2020,15.0
Spain,ESP,SM.POP.TOTL.ZS,International migrant stock (% of population),2015,12.6
France,FRA,SP.POP.TOTL,Total Population,2023,68287487.0
France,FRA,SP.POP.TOTL,Total Population,2022,68065015.0
France,FRA,SP.POP.TOTL,Total Population,2021,67842811.0
France,FRA,SP.POP.TOTL,Total Population,2020,67601110.0
France,FRA,SP.POP.TOTL,Total Population,2019,67382061.0
France,FRA,SP.POP.TOTL,Total Population,2018,67158348.0
France,FRA,SP.POP.TOTL,Total Population,2017,66918020.0
France,FRA,SP.POP.TOTL,Total Population,2016,66724104.0
France,FRA,SP.POP.TOTL,Total Population,2015,66548272.0
France,FRA,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2023,48.4690810512727
France,FRA,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2022,48.4584151441406
France,FRA,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2021,48.4484928079225
France,FRA,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2020,48.4388283505735
France,FRA,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2019,48.4293914544466
France,FRA,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2018,48.4146195649536
France,FRA,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2017,48.4118356845068
France,FRA,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2016,48.398438541877
France,FRA,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2015,48.3947499995263
France,FRA,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2023,51.5309189487273
France,FRA,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2022,51.5415848558594
France,FRA,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2021,51.5515071920775
France,FRA,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2020,51.5611716494265
France,FRA,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2019,51.5706085455534
France,FRA,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2018,51.5853804350464
